Internal SKU,Brand/Vendor,Product Type,Product Title,Price (USD)
INF-TYS-MAR-2026,Taylor Stitch,Bottoms,The Mariner Jean in Rinsed Indigo Dobby Denim,131.6
INF-TYS-JAC-2026,Taylor Stitch,Wovens,The Jack in Charcoal Twist Waffle,96.6
INF-TYS-JAC-2026,Taylor Stitch,Wovens,The Jack in Deep Sea Twist Waffle,82.8
INF-TYS-FOU-2026,Taylor Stitch,Bottoms,The Foundation Short in Organic Smoked Olive,118.0
INF-TYS-FOU-2026,Taylor Stitch,Bottoms,The Foundation Short in Organic Khaki,118.0
INF-TYS-TOP-2026,Taylor Stitch,Knits,The Topsail Sweater in Dark Navy,131.6
INF-TYS-SCH-2026,Taylor Stitch,Accessories,The Schooner Tote in Seeded Natural Chipped Canvas,98.0
INF-TYS-SHI-2026,Taylor Stitch,Outerwear,The Shifter Jacket in Dark Grey Pigment Canvas,145.6
INF-TYS-LOG-2026,Taylor Stitch,Wovens,The Logan Popover in Blue Sky Plaid,81.0
INF-TYS-JAC-2026,Taylor Stitch,Wovens,The Jack in Surf Green Oxford,76.8
INF-TYS-JAC-2026,Taylor Stitch,Wovens,The Jack in Straw Oxford,89.6
INF-TYS-JAC-2026,Taylor Stitch,Wovens,The Jack in Pale Rose Oxford,89.6
INF-TYS-JAC-2026,Taylor Stitch,Wovens,The Jack in Atlantic Blue Madras,81.0
INF-TYS-BRE-2026,Taylor Stitch,Bottoms,The Breakwater Pant in Mushroom Ripstop,142.0
INF-TYS-BRE-2026,Taylor Stitch,Bottoms,The Breakwater Pant in Rinsed Indigo Ripstop,142.0
INF-TYS-CIN-2026,Taylor Stitch,Outerwear,The Cinder Jacket in Coal Dry Wax,298.0
INF-TYS-MAT-2026,Taylor Stitch,Knits,The Match V-Neck Sweater in Sable Merino Slub,130.8
INF-TYS-PAI-2026,Taylor Stitch,Bottoms,The Painter Pant in Seeded Natural Chipped Canvas,158.0
INF-TYS-STR-2026,Taylor Stitch,Bottoms,The Straight Jean in Light Wash Organic Selvedge,178.0
INF-TYS-DEM-2026,Taylor Stitch,Bottoms,The Democratic Jean in Light Wash Organic Selvedge,178.0
INF-TYS-CRA-2026,Taylor Stitch,Knits,The Crawford Crew Sweater in Washed Indigo,124.6
INF-TYS-CRA-2026,Taylor Stitch,Knits,The Crawford Crew Sweater in Marled Natural,178.0
INF-TYS-CPO-2026,Taylor Stitch,Wovens,The CPO Overshirt in Indigo Ash Wool Herringbone,112.8
INF-TYS-CRA-2026,Taylor Stitch,Knits,The Crawford Sweater in Deep Sea Twist,131.6
INF-TYS-CRA-2026,Taylor Stitch,Accessories,The Crawford Beanie in Navy,58.0
INF-TYS-CRA-2026,Taylor Stitch,Accessories,The Crawford Beanie in Deep Sea Twist,58.0
INF-TYS-NOR-2026,Taylor Stitch,Knits,The North Shore Knit Shirt in Heather Coal,148.0
INF-TYS-NOR-2026,Taylor Stitch,Knits,The North Shore Knit Shirt in Heather Navy,148.0
INF-TYS-ORG-2026,Taylor Stitch,Knits,The Organic Cotton Crew in Deep Sea Waffle,59.5
INF-TYS-OJA-2026,Taylor Stitch,Outerwear,The Ojai Jacket in French Blue Moleskin,248.0
